Row,z_1,z_2
0,-0.12608883810595742,-1.5881160226344881
1,-0.37228129491145756,-1.4630583009095892
2,-0.9648403186012078,-1.5411217755239552
3,-1.2601630351441055,-1.4335642841479692
4,-1.7416646647054526,-1.2309152424281946
5,-1.843051592658675,-1.020252394534673
6,-2.318955310686019,-0.5206482183623959
7,-2.4816936555003526,-0.42065803949519054
8,-2.561236784487159,-0.03602949306436981
9,-2.492876545364833,0.10615422732610025
10,-2.4406350834017667,0.49406817336832226
11,-2.313257444694352,0.8207119944601469
12,-2.2287609737198566,1.0167311020126972
13,0.06238375794497832,1.3057352903947725
14,0.3592128417442505,0.7716290413862593
15,0.6941668695244548,0.6225744116914941
16,1.4036192381623105,0.48824530699685526
17,1.7595219673260218,0.31341232264096835
18,2.3656783753712025,0.6795233513997445
19,2.611216177327578,0.12219939321177996
20,2.6760125226565745,-0.026303275048743677
21,2.9775230819127714,-0.27441765899890697
22,2.8991792426385277,-0.48571836851993966
23,2.734572837018977,-0.37416711584694834
24,1.9825414800270837,-0.6473741441541182
25,1.7305194984580932,-0.6229516148666158
26,1.531242187095705,-0.6915973114256536
27,1.466107696354364,-0.7133913036625441
28,1.1833503932707696,-0.7902722881123142
29,0.7988155080081192,-0.7714870777061733
30,0.4655395435129379,-1.5192998728657359
31,0.5269415247463587,-1.649892041261223
32,0.48086772168049496,-1.6579979920343504
33,0.031198186052923963,-1.6828938511570761
34,,
35,-0.5715038602608493,2.0092598403949578
36,-0.22724369593233712,1.747740123529539
37,0.06238375794497832,1.3057352903947725
38,-2.220578579691267,1.0398481018561336
39,-2.2201575172587744,1.6139705896826753
40,-2.0449843767635483,1.7205729426537157
41,-1.6878549011730033,2.2461788096922684
42,-1.2962296224622911,2.322410641418918
43,-0.9550278475830316,2.1731966585902693
