Row,bagging,gradient_boosting,logistic_regression,mlp,random_forest,svc_linear,svc_rbf
1,0.009446817972106671,0.002175845010300744,0.7831981541579638,0.014830744294903421,0.04346643966217439,0.8680467280423048,3.35817209043161
2,0.009863224512919929,0.012058702311994473,0.8761136039103145,0.016440120263240255,0.005459900064668132,0.5503998113736182,0.015031076487710515
3,0.009387135606255415,0.006145626544881786,0.6669237258591977,0.01831515004670967,0.0035802089011115167,0.7461719556640428,0.04565343067158853
4,0.006012989789561848,0.0038810826640080552,1.0095278241569337,0.012836926207537736,0.006999931051478061,1.536871929390533,0.031029111079799238
5,0.00794012509887992,0.006290711701643339,1.0798954925027386,0.013738050769872208,0.004851168285760277,0.9236995815069737,0.024011979433269378
6,0.00964074849231215,0.0011908529998331577,0.5974693085120847,0.01602768760492696,0.005782757997693967,0.719328195731538,0.013743133566383247
7,0.009430017680903978,0.0041537522705423335,0.9756205947124823,5.158444558561493,0.006081878215850458,0.8267106632862287,3.6714782082593986
8,0.009446817972106671,0.0012633896317670486,1.0840546205145212,0.014197733860875819,0.002835732531617885,0.3095743992395761,0.022776093359127402
9,0.009387135606255415,0.005642897443290488,0.5605679005327465,0.018315131224415578,0.00519379516038423,0.6326477608472127,0.04369541275488455
10,0.008018175346328897,0.005802894508475614,0.6397419567516092,0.018913490770409526,0.003143705966415786,1.403590069312799,0.02159667214576082
11,0.006400373644683982,0.024053346825075914,0.9068446325023353,0.01566407260327745,0.002604540850819624,0.8619137794539139,0.02122382326053323
12,0.0069477640272268895,0.0011218804928489353,0.9437725397631038,0.015835680891591795,0.003165747360971083,0.7581014037469817,0.03610442204288274
13,0.009446817972106671,0.0013011225035459968,0.5809286715094361,0.014197733860629653,0.004166021601860308,0.38014334754679047,0.030102719863748847
14,0.00692563492608134,0.0046320145480594965,0.9001780106427294,0.013567755380663868,0.027787912811305725,1.1911696359375668,0.035251500074762854
15,0.009446817972106671,0.0012020955754894515,1.202769635653416,0.014201778546567075,0.007340166214986577,1.277789561672385,0.03779585264801684
16,0.008018175346328897,0.01255120181250315,0.687490484322046,0.01891338741511779,0.00583933338505296,0.46851885331412335,0.019534603731687073
17,0.00794012509887992,0.006254442398816889,1.0451923941769858,0.01373805143175557,0.0029883687410636826,1.1858326851814993,0.027364098352169255
18,0.008364085868530517,0.011050995036000353,0.7186762654471149,0.015114402361015676,0.03271501002882351,0.6591160208523426,0.017714577125983934
19,0.0069477640272268895,0.011891874814024409,0.8319562819265007,0.015835680891007183,0.009271514855128385,1.5160604502021722,0.007516982340942078
20,0.0076640081651896865,0.0024050165179796534,1.0331374407240634,0.013447098812139423,0.0030171219972152333,0.5595250847667009,0.02506049786101527
21,0.009065171089592159,0.001739636797414742,1.0441163001143914,0.010027288378322412,0.005374351419093172,1.19478362394894,0.02428964660042544
22,0.00977522376761856,0.007481782481514812,0.9350970123911512,5.05616539677386,0.30328198334703205,0.765658865445472,0.015306712238853002
23,0.009430017680903978,0.0025621653903186,0.7376347244944317,0.016027687604147967,0.003983387693419268,0.6882742035754372,0.016588186556947205
24,0.006400373644683982,0.017421673823313083,0.7551772471732315,0.015616506382250886,0.002154944819027223,0.7383855269793611,0.01923844123652121
25,0.009446817972106671,0.0012998353886874967,0.8848039436753203,0.014197733860845977,0.00387298950994949,0.9852751447497065,0.0459071151210152
26,0.009387135606255415,0.005818894549951858,1.1918215836977384,0.018315131279162483,0.29414210131770724,0.6428277925568661,0.043312615603957993
27,0.010138610105316106,0.006404754610636439,0.6460276496410885,0.018315131236328195,0.007151496249992906,1.1072476012959727,0.03868252417020968
28,0.009430017680903978,0.002958709136236027,0.5968303212288895,0.01602769257525847,0.004058379522295159,0.34008910814827725,0.0859319546716558
29,0.00964074849231215,0.0049836049282552634,0.8846202933777301,0.01602778005674952,0.005653327979932373,0.6452981808484131,0.01602431971424409
30,0.030480391404240824,0.009828440887587001,0.7851847934847072,0.28581979638151855,0.006935527528324201,0.5796302861745164,0.033183643127697664
31,0.006012989789561848,0.0031940803041466993,1.096126791360801,0.0128363203558158,0.009016097207511184,1.4718802401312876,0.02519749042502715
32,0.009065171089592159,0.0016770977676909525,1.037058991839385,0.00991700332243762,0.0032722753791773083,0.641574412083499,0.016481020202009946
33,0.009863224512919929,0.013864958017348116,0.7662785675601579,5.157790954351936,0.008237599688131425,0.7032467035338738,3.7542713389772975
34,0.00794012509887992,0.006290711701643339,1.112647070225917,0.013738050769910477,0.0042824422386322555,0.7937476506373151,0.020923567168893695
35,0.01067304553352431,0.0032063469894599347,0.6115954648692685,0.01587535088589175,0.0033748395993452047,0.3938335676184238,0.023035306978148613
36,0.009065171089592159,0.0018170910954842287,0.9477673638897335,0.009917123964943063,0.004039629210984056,0.7304586560449409,0.02464285486885493
37,0.01067304553352431,0.0017134318385095472,0.6799209934879981,0.015875350885854976,0.0035612023362697302,0.313684004886582,0.02841265341938392
38,0.008790605363686364,0.021629130714419874,1.2342935509084745,0.019166733303430182,0.003967640687097802,0.6215758187806056,0.03716190309283159
39,0.009387135606255415,0.06969451269787877,0.8018379217077825,0.48860534907831743,0.004833066079200879,1.2476230299394826,3.437497260750031
40,0.00794012509887992,0.006250477408201522,0.9220111479748814,0.36499011200414644,0.004002199634917406,0.7297749176969713,0.02503351090944756
41,0.009065171089592159,0.0017801662302862724,0.9186325841369759,0.009917003294865152,0.003507249671433171,0.8313629556840096,0.02998748620023528
42,0.008018175346328897,0.0040486189704774505,0.5408542288440863,0.01891334512737575,0.0033741008328178335,0.20988056193442622,0.0037215665987434315
43,0.012619648926022553,0.007625723194877218,0.6914299962938969,0.01831739073963485,0.004811159030624464,1.3724648180188406,0.0421260357539439
