Row,z_1,z_2
0,-2.0435502419448124,-0.6162991093424498
1,-0.17141675415545377,-0.3574438363053977
2,-0.9648403186012078,-1.5411217755239552
3,-1.2601630351441055,-1.4335642841479692
4,-1.6048859688143073,-0.9996518852494354
5,,
6,-2.6137154357865,0.7371362963776293
7,-2.0435502419448124,-0.6162991093424498
8,-2.2804854518638957,-0.4883316454750449
9,-2.666420725998912,0.32930907220088845
10,,
11,-1.8526370605464708,2.3135261349696035
12,-1.161323115491192,2.1657585146338367
13,-2.4142156257314777,1.6834804529916008
14,,
15,-1.6847050098652592,2.3501295887363023
16,-1.4179719534468251,2.3736449662004877
17,-1.161323115491192,2.1657585146338367
18,,
19,0.4655395435129379,-1.5192998728657359
20,0.48086772168049496,-1.6579979920343504
21,-0.12608883810595742,-1.5881160226344881
22,0.18071995002215033,-1.269210475563189
23,,
24,-0.9648403186012078,-1.5411217755239552
25,0.08761350434952495,-0.9882538372419482
26,-0.2513449637047234,-1.5417721448080188
27,,
28,0.07499479636337114,0.2789433532022151
29,-1.161323115491192,2.1657585146338367
30,-0.22724369593233712,1.747740123529539
