Row,TD_P,CL,LSC,DCP,N1,kDN,TD_U,LSR,N2,F1
1,0.8335686553608908,0.21496654975261986,0.9981111511382014,0.01647059368035899,0.9995382222878924,1.0004453685705161,0.8874833227741853,0.9061537345041796,0.6597313263083148,0.909212860721979
2,0.8334423769185868,0.10785558271912042,0.9923260362803024,0.01567864199500213,0.0022553880732591757,0.4998718387131976,0.8890655205537704,0.8653413542085264,0.38082100387145595,0.9088102617778689
3,0.8309725895217763,0.11865676545557313,0.9954592692303036,0.016656808896368627,0.998445548484139,0.6999739096685832,0.8889905648415481,0.899989250741433,0.6208764879131263,0.8862124204604543
4,0.3351096820668536,0.11862921455678928,0.9989341561287205,0.0051104926579866265,0.9996843382514359,0.5995966995123494,0.33363728644864293,0.8606478996998882,0.5557797229906144,0.841034107281336
5,0.333703894540493,0.028200999431759313,0.9965786769105393,0.0035529588356290804,-0.000421277640562598,0.49873734419408045,0.3339404012599714,0.8184370458432655,0.24060966751180426,0.8398450525136884
6,0.8332075281626679,0.09115006432996077,0.9526607818591712,0.017031523653904097,0.00014326327760358435,-0.00013635992153460095,0.889133499282411,0.8201267734697921,0.15311618702508467,0.8394878278303196
7,0.8340162371188466,0.9874270812860242,0.9853436016380167,0.01619604681832716,0.6652790227247053,0.49972866816657346,0.8881895840633606,0.9203336445960651,0.15256581269890512,0.9327158323047726
8,0.8344363430465203,0.09019088969284121,0.9891709129846771,0.0179929960134618,0.33504005175998314,0.40071616422502954,0.8909101859916956,0.8697869144484154,0.4043494030076647,0.8422545838245297
9,0.8336653682525265,0.09134395039647836,0.9959088169858853,0.015563202234508784,1.0016681602182527,0.6999299055659779,0.8885375617735652,0.9432155721030019,0.6565498131968538,0.8857132566541591
10,0.8331319483545571,0.10912399037087761,0.9956740382322027,0.017335053871983638,0.49988520881467463,0.600798378568572,0.8885231083224473,0.953353247864062,0.6017213872669541,0.9073280372570566
11,0.8345303584437864,0.10890940296559194,0.9925516219810425,-2.1168789273113088e-05,0.5006581113930699,0.29986314628167465,0.5556922165077259,0.8788573595726201,0.18995769166859702,0.8866003852299461
12,0.33386731094113364,0.03035005114748613,0.9977383116755887,0.002039546718536832,0.9996889090047405,0.39951773177569444,0.3316867133355759,0.9653893855934279,0.7807948060520962,0.8865025355080909
13,0.8330433356701646,0.09146894364648404,0.9876469554948266,0.015410084436037634,-0.00041755093912083826,0.2986042605149846,0.888869368843632,0.8402746820310146,0.4600537681128418,0.8852204723557826
14,0.5003102097080349,0.9927159652323683,0.9958199160599345,0.0002189016793726342,1.0010610815138785,0.9004008942691359,0.3338224811913635,0.8379786101992381,0.5475066184740214,0.7962040009119233
