Row,z_1,z_2
0,0.23386298419354315,-0.9599441442407709
1,0.021686278500574543,-1.3812975416166449
2,-0.11705849328861945,-1.5827312359238002
3,-0.37228129491145756,-1.4630583009095892
4,-0.6250590616577462,-1.3502978940458636
5,,
6,-0.6874481650378806,-1.319665871368465
7,-0.8300370350763664,-1.280813783170287
8,0.23386298419354315,-0.9599441442407709
9,,
10,-1.0301782876205905,-1.2112915596849356
11,-2.219541623045063,0.39590193446706123
12,-2.1861887053015914,0.6033553717238431
13,-2.2196792234719185,0.9979163827437045
14,-2.2201575172587744,1.6139705896826753
15,-1.5965287770293217,2.245863335147091
16,-0.8653585035160488,2.0397367723955924
17,-0.5466839556782506,1.8597212349872954
18,-0.39076798918152467,1.7796772243442023
19,0.06238375794497832,1.3057352903947725
20,0.3592128417442505,0.7716290413862593
21,0.6941668695244548,0.6225744116914941
22,1.4036192381623105,0.48824530699685526
23,2.2510015217356347,0.6717087840413598
24,2.611216177327578,0.12219939321177996
25,2.6760125226565745,-0.026303275048743677
26,2.9775230819127714,-0.27441765899890697
27,2.8991792426385277,-0.48571836851993966
28,2.734572837018977,-0.37416711584694834
29,1.9825414800270837,-0.6473741441541182
30,1.7305194984580932,-0.6229516148666158
31,1.531242187095705,-0.6915973114256536
32,1.466107696354364,-0.7133913036625441
33,1.1833503932707696,-0.7902722881123142
34,0.7988155080081192,-0.7714870777061733
35,0.5958289568028386,-0.751416689758878
36,0.23386298419354315,-0.9599441442407709
