instances,instance_hardness
1,0.3081886650516742
2,0.1521933143362748
3,0.156336546553137
4,0.21152968352414936
5,0.18853010620048716
6,0.1441168656090528
7,0.4534229248201407
8,0.13973316877135356
9,0.1398550350017559
10,0.18341001506630727
11,0.17759147281997922
12,0.17209499017125462
13,0.11649564331416185
14,0.19666842662667305
15,0.21287074052875588
16,0.13365669306246264
17,0.20009269547734876
18,0.15419413392306258
19,0.1994858936504602
20,0.16054093791259072
21,0.19933203859856774
22,0.34714794456167997
23,0.15251216301427828
24,0.15893442552110748
25,0.18391456935672545
26,0.21443428662893615
27,0.17501415157015054
28,0.12176751343793202
29,0.15923180120062708
30,0.18740180699232123
31,0.21316286243451177
32,0.16560316317845403
33,0.43470012568405914
34,0.18170976638786285
35,0.11982253037014878
36,0.16854106972321803
37,0.11746271580626133
38,0.18020502225857526
39,0.38573842640048017
40,0.20984532707090287
41,0.17417063991764814
42,0.09213049916533067
43,0.18999966538385527
44,0.16358185261127844
45,0.41977793109637906
46,0.18349364381722733
47,0.16600230221139034
48,0.18331122985106274
49,0.12058112248904496
50,0.13399934937657076
51,0.1851874500332521
52,0.12453408148239287
53,0.18543897494331452
54,0.2682189655526511
55,0.08821080731451181
56,0.10773507602999632
57,0.32121850024913434
58,0.15581751200784377
59,0.49342776810479017
60,0.12804577447990473
61,0.16444951384845807
62,0.11702246160289631
63,0.15949837212144358
64,0.46211208426422157
65,0.1471654756235159
66,0.19154083327289406
67,0.18713078705911457
68,0.15028271978997876
69,0.12892396809011097
70,0.21684241442876995
71,0.16940053523398535
72,0.2642788764286308
73,0.16901597483064812
74,0.20284811589942853
75,0.1663784671154489
76,0.13352489021103198
77,0.28151544347138013
78,0.16773589585106086
79,0.15652985761324834
80,0.15068177880177602
81,0.09188981936851859
82,0.19147157797737724
83,0.15050319808049228
84,0.12247355340913435
85,0.18467568845605198
86,0.15572791973234745
87,0.3470920979429968
88,0.20568969556732486
89,0.1758649801983314
90,0.16144600692289524
91,0.6969784173384876
92,0.309874581285845
93,0.165850993118967
94,0.10584221323590026
95,0.5094398733376688
96,0.1628407452620413
97,0.12933862725183398
98,0.1460077091984906
99,0.165198568328082
100,0.11667020383634863
101,0.26663049757549795
102,0.14968748874449644
103,0.12779555613104676
104,0.2749470895549184
105,0.1686043269776305
106,0.15165582447967985
107,0.14289834019699554
108,0.20500417576828356
109,0.17156301861405177
110,0.17692401856904583
111,0.1807071562416599
112,0.1931604712911258
113,0.12489577320448297
114,0.14079118601124352
115,0.32447514661334964
116,0.5080972449273505
117,0.16967697401357007
118,0.17167670628250842
119,0.1640961793775425
120,0.15143663166705734
121,0.16969219004627545
122,0.17272762875586234
123,0.1373441714735255
124,0.20532038978772038
125,0.21704400196054174
126,0.17558448541200622
127,0.14707630094144353
128,0.16992968213456805
129,0.15106790984856855
130,0.18743685498761697
131,0.15352905725272503
132,0.09766879663812211
133,0.3047225352418378
134,0.5682723998346446
135,0.13758585911107224
136,0.19564206756343738
137,0.16628991800082693
138,0.4448533597247334
139,0.16046438821964915
140,0.14996135663064025
141,0.24851990547908165
142,0.33334916212464527
143,0.35492744307781343
144,0.18123229389860884
145,0.17115641551220817
146,0.1737211919145769
147,0.114318605211579
148,0.49815543879737023
149,0.14796203630288018
150,0.1902563990457249
151,0.3733627287499519
152,0.1803360331140771
153,0.16143783272077206
154,0.32499723871187136
155,0.15933512589198784
156,0.19049605016772186
157,0.25224948713454665
158,0.15613004261526575
159,0.13409269757773135
160,0.17746039394502378
161,0.11498521558946195
