Row,z_1,z_2
0,-0.9648403186012078,-1.5411217755239552
1,-1.2601630351441055,-1.4335642841479692
2,-1.7416646647054526,-1.2309152424281946
3,-1.843051592658675,-1.020252394534673
4,-2.318955310686019,-0.5206482183623959
5,-2.4816936555003526,-0.42065803949519054
6,-2.561236784487159,-0.03602949306436981
7,-2.492876545364833,0.10615422732610025
8,-2.4406350834017667,0.49406817336832226
9,-2.313257444694352,0.8207119944601469
10,-2.220578579691267,1.0398481018561336
11,-2.2201575172587744,1.6139705896826753
12,-1.9395841702862568,2.1537601318992325
13,-1.6878549011730033,2.2461788096922684
14,-1.4805903569769514,2.217068804651206
15,-1.3004648874851412,2.1578112438667643
16,-0.8653585035160488,2.0397367723955924
17,-0.5466839556782506,1.8597212349872954
18,-0.39076798918152467,1.7796772243442023
19,0.06238375794497832,1.3057352903947725
20,0.3592128417442505,0.7716290413862593
21,0.6941668695244548,0.6225744116914941
22,1.4036192381623105,0.48824530699685526
23,2.2510015217356347,0.6717087840413598
24,2.611216177327578,0.12219939321177996
25,2.6760125226565745,-0.026303275048743677
26,2.9775230819127714,-0.27441765899890697
27,2.8991792426385277,-0.48571836851993966
28,2.734572837018977,-0.37416711584694834
29,1.9825414800270837,-0.6473741441541182
30,1.7305194984580932,-0.6229516148666158
31,1.531242187095705,-0.6915973114256536
32,1.466107696354364,-0.7133913036625441
33,1.1833503932707696,-0.7902722881123142
34,0.7988155080081192,-0.7714870777061733
35,0.5781635884052856,-1.5805364600806049
36,0.48086772168049496,-1.6579979920343504
37,0.031198186052923963,-1.6828938511570761
38,-0.12608883810595742,-1.5881160226344881
39,-0.37228129491145756,-1.4630583009095892
